Channel,Timestamp,X,Y,Z
0,1822367120,0.262,0.426,-0.901
0,1822367264,0.257,0.426,-0.905
0,1822367409,0.263,0.432,-0.9
0,1822367553,0.26,0.435,-0.896
0,1822367697,0.266,0.44,-0.883
0,1822368564,0.283,0.456,-0.855
0,1822368709,0.279,0.466,-0.861
0,1822368854,0.281,0.468,-0.865
0,1822368998,0.283,0.46,-0.861
0,1822369142,0.295,0.46,-0.842
0,1822370009,0.279,0.462,-0.835
0,1822370154,0.282,0.461,-0.837
0,1822370298,0.286,0.46,-0.842
0,1822370443,0.294,0.459,-0.848
0,1822370587,0.301,0.452,-0.821
0,1822371455,0.283,0.443,-0.823
0,1822371599,0.281,0.44,-0.823
0,1822371744,0.277,0.438,-0.823
0,1822371888,0.272,0.432,-0.825
0,1822372033,0.266,0.429,-0.849
0,1822372900,0.246,0.418,-0.864
0,1822373045,0.239,0.416,-0.862
0,1822373189,0.232,0.409,-0.859
0,1822373334,0.228,0.399,-0.856
0,1822373479,0.233,0.37,-0.818
0,1822374346,0.208,0.381,-0.84
0,1822374491,0.204,0.38,-0.837
0,1822374635,0.2,0.376,-0.831
0,1822374780,0.203,0.372,-0.82
0,1822374924,0.171,0.337,-0.849
2,1822367228,1.694,-0.183,0.182
2,1822367372,1.613,-0.134,0.165
2,1822367517,1.543,-0.095,0.14
2,1822367661,1.483,-0.079,0.113
2,1822367806,1.411,-0.058,0.096
2,1822368673,0.936,0.132,-0.04
2,1822368817,0.878,0.14,-0.083
2,1822368962,0.816,0.136,-0.144
2,1822369106,0.749,0.175,-0.172
2,1822369251,0.664,0.209,-0.166
2,1822370118,0.246,0.321,-0.325
2,1822370262,0.195,0.339,-0.374
2,1822370407,0.129,0.329,-0.396
2,1822370551,0.047,0.344,-0.398
2,1822370696,-0.014,0.359,-0.538
2,1822371563,-0.275,0.383,-0.546
2,1822371707,-0.323,0.401,-0.548
2,1822371852,-0.368,0.425,-0.525
2,1822371996,-0.391,0.445,-0.519
2,1822372141,-0.399,0.439,-0.437
2,1822373008,-0.459,0.432,-0.509
2,1822373153,-0.458,0.442,-0.475
2,1822373297,-0.439,0.431,-0.453
2,1822373442,-0.406,0.393,-0.45
2,1822373586,-0.383,0.31,-0.11
2,1822374453,-0.201,0.342,-0.225
2,1822374598,-0.14,0.319,-0.198
2,1822374742,-0.081,0.317,-0.193
2,1822374887,-0.039,0.317,-0.164
2,1822375032,0.684,0.149,0.201
0,1822375792,0.166,0.353,-0.862
0,1822375936,0.172,0.351,-0.863
0,1822376081,0.172,0.344,-0.856
0,1822376226,0.17,0.34,-0.85
0,1822377816,0.131,0.345,-0.885
0,1822377238,0.136,0.338,-0.864
0,1822377382,0.137,0.345,-0.874
0,1822377527,0.134,0.347,-0.89
0,1822377672,0.126,0.348,-0.889
0,1822379262,0.141,0.342,-0.905
0,1822378684,0.133,0.337,-0.873
0,1822378828,0.126,0.343,-0.878
0,1822378973,0.127,0.346,-0.884
0,1822379117,0.133,0.345,-0.891
0,1822380708,0.166,0.369,-0.903
0,1822380129,0.157,0.365,-0.877
0,1822380274,0.162,0.37,-0.875
0,1822380418,0.17,0.371,-0.879
0,1822380563,0.17,0.398,-0.887
0,1822382153,0.21,0.398,-0.889
0,1822381575,0.193,0.391,-0.89
0,1822381720,0.194,0.392,-0.889
0,1822381864,0.198,0.398,-0.889
0,1822382009,0.203,0.426,-0.895
0,1822383599,0.255,0.431,-0.89
0,1822383021,0.221,0.42,-0.919
0,1822383165,0.223,0.423,-0.904
0,1822383310,0.236,0.423,-0.897
0,1822383454,0.295,0.449,-0.85
0,1822385044,0.297,0.452,-0.847
2,1822375899,0.409,0.194,0.086
2,1822376043,0.478,0.179,0.108
2,1822376188,0.544,0.161,0.134
2,1822376332,0.605,0.156,0.177
2,1822377922,1.489,-0.169,0.333
2,1822377344,1.159,-0.032,0.292
2,1822377489,1.232,-0.028,0.299
2,1822377633,1.31,-0.054,0.323
2,1822377778,1.4,-0.108,0.336
2,1822379368,2.099,-0.406,0.34
2,1822378789,1.872,-0.301,0.359
2,1822378934,1.94,-0.357,0.368
2,1822379078,2.006,-0.393,0.359
2,1822379223,2.064,-0.405,0.374
2,1822380813,2.384,-0.511,0.383
2,1822380235,2.329,-0.507,0.37
2,1822380379,2.358,-0.507,0.376
2,1822380524,2.377,-0.505,0.371
2,1822380668,2.379,-0.466,0.353
2,1822382258,2.29,-0.453,0.344
2,1822381680,2.381,-0.511,0.356
2,1822381825,2.359,-0.494,0.343
2,1822381969,2.329,-0.477,0.35
2,1822382114,2.304,-0.258,0.238
2,1822383704,1.784,-0.231,0.204
2,1822383126,2.021,-0.303,0.273
2,1822383270,1.963,-0.288,0.267
2,1822383415,1.904,-0.271,0.264
2,1822383559,1.125,0.067,-0.014
2,1822385149,1.038,0.113,-0.021
0,1822384466,0.271,0.445,-0.879
0,1822384611,0.279,0.442,-0.867
0,1822384755,0.287,0.443,-0.856
0,1822386346,0.3,0.462,-0.839
0,1822386490,0.293,0.467,-0.836
0,1822385912,0.297,0.453,-0.866
0,1822386057,0.305,0.454,-0.857
0,1822386201,0.298,0.456,-0.824
0,1822387792,0.285,0.442,-0.821
0,1822387936,0.283,0.447,-0.82
